fbID,page,code,af,am,ar,az,bg,bn,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,ga,gl,gu,he,hi,hr,ht,hu,hy,id,is,it,ja,ka,km,kn,ko,la,lb,lt,lv,mg,mk,ml,mn,mr,ms,mt,ne,nl,no,pa,pl,ps,pt,qu,ro,ru,rw,si,sk,sl,so,sq,sr,sv,sw,ta,te,th,tl,tr,uk,ur,vi,xh,zh,inconnue,max,maj
131929868907,Collective Evolution,CollectiveEvolutionPage,0,0,0,0,0,0,0,0,0,0,1,1,0,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,693,2695,en
119670598057754,Comic Book Resources,ComicBookResources,0,0,0,0,0,0,0,1,0,0,0,0,0,2695,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,2695,en
290751417706148,Fashion Beauty Kids,fashionbeautykids,0,0,0,0,0,0,0,0,0,0,0,0,0,2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2687,en
335248206510387,La solution est en vous,lasolutionestenvous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2537,fr
129304317251326,Stories of Jesus,StoriesofJesus,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,2515,en
196811893713772,Shared: Vintage,shared.vintage,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,2389,en
220942375077886,Canada Proud,CanadaProud.org,0,0,0,0,0,0,0,0,0,0,1,0,0,2320,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2320,en
882226925211697,Introvert Nation,TheIntrovertNation,0,0,0,0,0,0,0,0,0,0,0,1,0,2310,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,169,2310,en
158638357572278,Funny ~ Good Morning ~ Images ~ Quotes,DailySmiles,3,0,0,0,0,0,0,0,0,1,0,0,0,2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,2237,en
735175299879547,Narcity Canada,NarcityCanada,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2168,en
