fbID,page,code,nb,media
203431116371936,Anne-Marie,iamannemarie,656,
279287795546442,Unusual Facts,TheUnusualFacts,642,
105312012718,Boylerpf Antique Vintage Jewelry,boylerpf,641,
108174483943881,Hahahaha_,OfficialPageHahahaha,641,
55010471609,The Biology of Belief,biobeliefs,640,
261367667312905,Brambleberry Cottage,BrambleberryCottage,634,
1601956053389838,Elect Conservatives,ElectConservatives,633,
462536430487893,Tinykittens,tinykittens,633,
697514977025585,Queens of Sass,QueensofSass,633,
828223873933675,Gear Heads: Motorcycles,gearheadmotorcycles,633,
883977168388259,Crying Jordan,cryingjordan,631,
703565313074504,Gym Fail Nation,GymFailNation,630,
165442691420,Afrojack,djafrojack,623,
184793918682749,Feedipy,feedipy,622,
1452615238293602,Shit Academics Say,academicssay,621,
108013515952807,K.S.I,KSIOlajidebt,617,
366210920828370,Marvel Fandom,MarvelFandomTNF,615,
601791206538266,Diljott,Diljott,615,
236972016503598,Animal Save Movement,animalsavemovement,611,
216750688346223,تحول درون,TAHAVOL1000,610,
265325440237679,CP24 Toronto's Breaking News,CP24Toronto,607,media
430718797134038,Recette de Maman,recettedemaman,603,
598293806906316,Dave Leduc,kingleduc,602,
182785011797968,La victoire de l'amour page officielle,lavictoiredelamour,601,
218080198269394,Gratuit,rienquedugratuit,601,
127472507333481,Winnipeg Jets,nhljets,598,
509887615710002,Jhonson Napoleon,Jhonsonpage,598,
159681227525464,Baltej Pannu,pannubaltej,597,
1263826433646899,Punjab De Fan ਪੰਜਾਬ ਦੇ ਫੈਨ,Punjabdefans,592,
453123195019723,United Conservative Movement Of Canada,ConservativeNewsCanada,589,
794911353929249,Ma Fourchette,MaFourchette,586,
161783213882482,James Fell,bodyforwife,584,
366783576837810,Raadiyoo Daandii Haqaa - RDH,RaadiyooDaandiiHaqaa,584,
1137540326319159,Black_beautifulclassy,blackbeautifulclassylove,575,
122209944801316,WatchMojo Español,WatchMojoEspanol,572,
127476907331141,TVA Sports,TVASports,570,media
467721450268461,The Post Millennial,ThePostMillennial,570,
160251316808,Wizkid,wizkidmusic,569,
1763209397283183,JoBlo Movie Trailers,joblomovietrailers,569,
102585541132815,That duck stole my ciggy,thatduckshitpost,568,
194276533995781,Li e gostei.,liegosteiblessedbe,568,
299525970478678,Liam Gallagher,liamgallagher,566,
348360875223437,WARFRAME,PlayWarframe,566,
338112393061246,Wing Chun News,WingChunNews.ca,564,
375369422799712,Fire Donald Trump,firetrumptoday,563,
100449010369646,Pregnancy & Newborns With Hot Moms Club,PregnancyByMoms,558,
297747243728929,Bonnie Rotten,THEOFFICIALBONNIEROTTEN,558,
119123001761,Salut Bonjour,SalutBonjour.tv,553,media
220250647990807,Ally Brooke,AllyBrookeOfficial,542,
665694523520707,Vault Dude,VaultDude,538,
267827730949,DogHeirs,DogHeirs,537,
1516144145104254,The Meow Post,themeowpost,534,
1405210263099061,theScore esports,theScoreesports,533,media
570218699855812,Coconut Rice Bear,coconutricebear,531,
